# Teff(K) EWLim(mA) eEWLi(mA)
3000.5 20.5 44.2
3014.4 16.1 42.7
3028.3 12.5 41.7
3042.3 9.6 41.0
3056.3 7.3 40.5
3070.4 5.5 40.2
3084.6 4.1 40.0
3098.8 3.0 39.9
3113.1 2.2 39.8
3127.5 1.6 39.8
3142.0 1.2 39.8
3156.5 0.9 39.7
3171.0 0.6 39.7
3185.7 0.4 39.7
3200.4 0.3 39.7
3215.1 0.2 39.7
3230.0 0.2 39.7
3244.9 0.1 39.7
3259.9 0.1 39.7
3274.9 0.1 39.7
3290.0 0.1 39.7
3305.2 0.0 39.7
3320.5 0.0 39.7
3335.8 0.0 39.7
3351.2 0.0 39.7
3366.7 0.0 39.7
3382.2 0.0 39.7
3397.8 0.0 39.7
3413.5 0.0 39.7
3429.3 0.1 39.7
3445.1 0.1 39.7
3461.0 0.1 39.7
3477.0 0.1 39.7
3493.0 0.2 39.7
3509.1 0.2 39.7
3525.3 0.3 39.7
3541.6 0.4 39.7
3558.0 0.5 39.7
3574.4 0.6 39.7
3590.9 0.8 39.7
3607.4 1.0 39.8
3624.1 1.3 39.8
3640.8 1.7 39.8
3657.6 2.2 39.8
3674.5 2.8 39.8
3691.5 3.5 39.9
3708.5 4.4 40.0
3725.6 5.5 40.1
3742.8 6.8 40.2
3760.1 8.4 40.5
3777.5 10.3 40.7
3794.9 12.5 41.1
3812.4 15.1 41.6
3830.0 18.0 42.2
3847.7 21.3 43.0
3865.4 25.0 43.8
3883.3 29.2 44.8
3901.2 33.8 46.0
3919.2 38.8 47.2
3937.3 44.2 48.6
3955.5 50.0 50.0
3973.7 56.2 51.5
3992.1 62.7 53.0
4010.5 69.4 54.4
4029.0 76.5 55.8
4047.6 83.7 57.1
4066.3 91.1 58.3
4085.1 98.6 59.3
4103.9 106.2 60.3
4122.9 113.7 61.0
4141.9 121.2 61.6
4161.0 128.7 62.1
4180.2 136.0 62.4
4199.5 143.1 62.5
4218.9 150.1 99.6
4238.4 156.9 99.3
4257.9 163.4 98.8
4277.6 169.7 98.1
4297.3 175.7 97.1
4317.2 181.5 96.0
4337.1 186.9 94.8
4357.1 192.1 93.4
4377.2 196.9 91.9
4397.4 201.5 90.3
4417.7 205.8 88.7
4438.1 209.8 87.1
4458.6 213.5 85.4
4479.2 217.0 83.7
4499.9 220.1 82.0
4520.6 223.0 80.3
4541.5 225.7 78.6
4562.5 228.0 77.0
4583.5 230.2 75.4
4604.7 232.1 73.8
4625.9 233.8 72.2
4647.3 235.2 70.8
4668.7 236.5 69.3
4690.3 237.6 67.9
4711.9 238.4 66.5
4733.7 239.1 65.2
4755.5 239.6 64.0
4777.5 239.9 62.8
4799.5 240.0 61.6
4821.7 240.0 60.5
4844.0 239.8 59.4
4866.3 239.5 58.4
4888.8 239.1 57.4
4911.3 238.5 56.5
4934.0 237.8 55.6
4956.8 236.9 54.7
4979.7 235.9 53.9
5002.6 234.9 53.2
5025.7 233.7 52.4
5048.9 232.3 51.7
5072.2 230.9 51.1
5095.7 229.4 50.4
5119.2 227.8 49.8
5142.8 226.1 49.2
5166.5 224.3 48.7
5190.4 222.4 48.2
5214.3 220.4 42.1
5238.4 218.4 42.0
5262.6 216.2 41.8
5286.9 214.0 41.7
5311.3 211.7 41.6
5335.8 209.4 41.5
5360.4 206.9 41.3
5385.2 204.5 41.2
5410.0 201.9 41.1
5435.0 199.3 41.1
5460.1 196.6 41.0
5485.3 193.8 40.9
5510.6 191.0 40.8
5536.0 188.1 40.7
5561.6 185.2 40.7
5587.3 182.2 40.6
5613.1 179.2 40.6
5639.0 176.1 40.5
5665.0 172.9 40.4
5691.1 169.7 40.4
5717.4 166.5 40.3
5743.8 163.2 40.3
5770.3 159.9 40.3
5797.0 156.5 40.2
5823.7 153.0 40.2
5850.6 149.6 40.2
5877.6 146.0 40.1
5904.7 142.5 40.1
5932.0 138.9 40.1
5959.4 135.2 40.0
5986.9 131.5 40.0
6014.5 127.8 40.0
6042.3 124.0 40.0
6070.2 120.2 39.9
6098.2 116.4 39.9
6126.3 112.5 39.9
6154.6 108.6 39.9
6183.0 104.6 39.9
6211.6 100.6 39.9
6240.2 96.6 39.8
6269.0 92.5 39.8
6298.0 88.4 39.8
6327.0 84.3 39.8
6356.2 80.1 39.8
6385.6 75.9 39.8
6415.0 71.7 39.8
6444.7 67.4 39.8
6474.4 63.1 39.8
